location,population,HighestInfectionCount,PercentPopulationInfected
United States,331002647,36190179,10.93
India,1380004385,32077706,2.32
Brazil,212559409,20245085,9.52
France,67564251,6440082,9.53
Russia,145934460,6425918,4.4
United Kingdom,67886004,6176023,9.1
Turkey,84339067,5996194,7.11
Argentina,45195777,5052884,11.18
Colombia,50882884,4852323,9.54
Spain,46754783,4660473,9.97
Italy,60461828,4413162,7.3
Iran,83992953,4281217,5.1
Germany,83783945,3808838,4.55
Indonesia,273523621,3749446,1.37
Mexico,128932753,3020596,2.34
Poland,37846605,2884557,7.62
South Africa,59308690,2554240,4.31
Ukraine,43733759,2348295,5.37
Peru,32971846,2128516,6.46
Netherlands,17134873,1924010,11.23
Iraq,40222503,1740933,4.33
Philippines,109581085,1688040,1.54
Czechia,10708982,1675450,15.65
Chile,19116209,1625467,8.5
Canada,37742157,1453000,3.85
Bangladesh,164689383,1386742,0.84
Malaysia,32365998,1320547,4.08
Belgium,11589616,1145736,9.89
Sweden,10099270,1108057,10.97
Romania,19237682,1085738,5.64
Pakistan,220892331,1085294,0.49
Japan,126476458,1071348,0.85
Portugal,10196707,993241,9.74
Israel,8655541,918237,10.61
Thailand,69799978,816989,1.17
Hungary,9660350,810126,8.39
Jordan,10203140,779530,7.64
Switzerland,8654618,731148,8.45
Kazakhstan,18776707,729016,3.88
Serbia,6804596,728167,10.7
Nepal,29136808,723296,2.48
Morocco,36910558,720256,1.95
United Arab Emirates,9890400,696906,7.05
Austria,9006400,665035,7.38
Tunisia,11818618,616764,5.22
Lebanon,6825442,576550,8.45
Saudi Arabia,34813867,531935,1.53
Greece,10423056,524871,5.04
Ecuador,17643060,491831,2.79
Cuba,11326616,483710,4.27
Bolivia,11673029,480229,4.11
Georgia,3989175,461198,11.56
Belarus,9449321,456247,4.83
Paraguay,7132530,456064,6.39
Panama,4314768,444695,10.31
Bulgaria,6948445,430410,6.19
Costa Rica,5094114,424472,8.33
Kuwait,4270563,404887,9.48
Guatemala,17915567,398990,2.23
Slovakia,5459643,393228,7.2
Uruguay,3473727,382873,11.02
Croatia,4105268,365716,8.91
Azerbaijan,10139175,357058,3.52
Dominican Republic,10847904,345118,3.18
Sri Lanka,21413250,342079,1.6
Myanmar,54409794,341300,0.63
Denmark,5792203,328075,5.66
Palestine,5101416,318435,6.24
Ireland,4937796,317204,6.42
Venezuela,28435943,314480,1.11
Honduras,9904608,312192,3.15
Oman,5106622,299418,5.86
Lithuania,2722291,287569,10.56
Ethiopia,114963583,286286,0.25
Egypt,102334403,284966,0.28
Libya,6871287,274453,3.99
Bahrain,1701583,270451,15.89
Moldova,4033963,261256,6.48
Slovenia,2078932,260619,12.54
Vietnam,97338583,241543,0.25
Armenia,2963234,233001,7.86
Qatar,2881060,228346,7.93
South Korea,51269183,218192,0.43
Kenya,53771300,215730,0.4
Bosnia and Herzegovina,3280815,206655,6.3
Zambia,18383956,201342,1.1
Algeria,43851043,184191,0.42
Nigeria,206139587,179908,0.09
Mongolia,3278292,176993,5.4
Kyrgyzstan,6524191,170353,2.61
North Macedonia,2083380,159269,7.64
