location,date,population,HighestInfectionCount,PercentPopulationInfected
Andorra,8/11/2021,77265,14891,19.27
Andorra,8/10/2021,77265,14873,19.25
Andorra,8/6/2021,77265,14836,19.2
Andorra,8/7/2021,77265,14836,19.2
Andorra,8/8/2021,77265,14836,19.2
Andorra,8/9/2021,77265,14836,19.2
Andorra,8/5/2021,77265,14809,19.17
Andorra,8/4/2021,77265,14797,19.15
Andorra,8/3/2021,77265,14766,19.11
Andorra,8/2/2021,77265,14747,19.09
Seychelles,8/10/2021,98340,18714,19.03
Seychelles,8/11/2021,98340,18714,19.03
Andorra,7/30/2021,77265,14678,19
Andorra,7/31/2021,77265,14678,19
Andorra,8/1/2021,77265,14678,19
Andorra,7/29/2021,77265,14655,18.97
Seychelles,8/5/2021,98340,18582,18.9
Seychelles,8/6/2021,98340,18582,18.9
Seychelles,8/7/2021,98340,18582,18.9
Seychelles,8/8/2021,98340,18582,18.9
Seychelles,8/9/2021,98340,18582,18.9
Andorra,7/27/2021,77265,14586,18.88
Andorra,7/28/2021,77265,14586,18.88
Andorra,7/26/2021,77265,14577,18.87
Andorra,7/23/2021,77265,14498,18.76
Andorra,7/24/2021,77265,14498,18.76
Andorra,7/25/2021,77265,14498,18.76
Andorra,7/22/2021,77265,14464,18.72
Seychelles,8/2/2021,98340,18384,18.69
Seychelles,8/3/2021,98340,18384,18.69
Seychelles,8/4/2021,98340,18384,18.69
Andorra,7/20/2021,77265,14379,18.61
Andorra,7/21/2021,77265,14379,18.61
Andorra,7/19/2021,77265,14359,18.58
Seychelles,7/29/2021,98340,18189,18.5
Seychelles,7/30/2021,98340,18189,18.5
Seychelles,7/31/2021,98340,18189,18.5
Seychelles,8/1/2021,98340,18189,18.5
Andorra,7/16/2021,77265,14273,18.47
Andorra,7/17/2021,77265,14273,18.47
Andorra,7/18/2021,77265,14273,18.47
Andorra,7/15/2021,77265,14239,18.43
Seychelles,7/26/2021,98340,18062,18.37
Seychelles,7/27/2021,98340,18062,18.37
Seychelles,7/28/2021,98340,18062,18.37
Andorra,7/13/2021,77265,14167,18.34
Andorra,7/14/2021,77265,14167,18.34
Andorra,7/12/2021,77265,14155,18.32
Andorra,7/9/2021,77265,14075,18.22
Andorra,7/10/2021,77265,14075,18.22
Andorra,7/11/2021,77265,14075,18.22
Andorra,7/8/2021,77265,14050,18.18
Andorra,7/7/2021,77265,14021,18.15
Andorra,7/6/2021,77265,13991,18.11
Seychelles,7/22/2021,98340,17747,18.05
Seychelles,7/23/2021,98340,17747,18.05
Seychelles,7/24/2021,98340,17747,18.05
Seychelles,7/25/2021,98340,17747,18.05
Andorra,7/1/2021,77265,13918,18.01
Andorra,7/2/2021,77265,13918,18.01
Andorra,7/3/2021,77265,13918,18.01
Andorra,7/4/2021,77265,13918,18.01
Andorra,7/5/2021,77265,13918,18.01
Andorra,6/30/2021,77265,13911,18
Andorra,6/29/2021,77265,13900,17.99
Andorra,6/25/2021,77265,13882,17.97
Andorra,6/26/2021,77265,13882,17.97
Andorra,6/27/2021,77265,13882,17.97
Andorra,6/28/2021,77265,13882,17.97
Andorra,6/23/2021,77265,13873,17.96
Andorra,6/24/2021,77265,13877,17.96
Andorra,6/21/2021,77265,13864,17.94
Andorra,6/22/2021,77265,13864,17.94
Andorra,6/16/2021,77265,13836,17.91
Andorra,6/17/2021,77265,13839,17.91
Andorra,6/18/2021,77265,13842,17.91
Andorra,6/19/2021,77265,13842,17.91
Andorra,6/20/2021,77265,13842,17.91
Andorra,6/15/2021,77265,13828,17.9
Andorra,6/14/2021,77265,13826,17.89
Andorra,6/11/2021,77265,13813,17.88
Andorra,6/12/2021,77265,13813,17.88
Andorra,6/13/2021,77265,13813,17.88
Andorra,6/10/2021,77265,13805,17.87
Andorra,6/9/2021,77265,13791,17.85
Andorra,6/8/2021,77265,13781,17.84
Seychelles,7/19/2021,98340,17541,17.84
Seychelles,7/20/2021,98340,17541,17.84
Seychelles,7/21/2021,98340,17541,17.84
Andorra,6/7/2021,77265,13777,17.83
Andorra,6/4/2021,77265,13758,17.81
Andorra,6/5/2021,77265,13758,17.81
Andorra,6/6/2021,77265,13758,17.81
Andorra,6/3/2021,77265,13752,17.8
Andorra,6/2/2021,77265,13744,17.79
Andorra,5/31/2021,77265,13727,17.77
Andorra,6/1/2021,77265,13729,17.77
Andorra,5/28/2021,77265,13693,17.72
Andorra,5/29/2021,77265,13693,17.72
Andorra,5/30/2021,77265,13693,17.72
Andorra,5/27/2021,77265,13682,17.71
Andorra,5/26/2021,77265,13671,17.69
Andorra,5/25/2021,77265,13664,17.68
Andorra,5/18/2021,77265,13569,17.56
Andorra,5/19/2021,77265,13569,17.56
Andorra,5/20/2021,77265,13569,17.56
Andorra,5/21/2021,77265,13569,17.56
Andorra,5/22/2021,77265,13569,17.56
Andorra,5/23/2021,77265,13569,17.56
Andorra,5/24/2021,77265,13569,17.56
Andorra,5/17/2021,77265,13555,17.54
Seychelles,7/16/2021,98340,17234,17.52
Seychelles,7/17/2021,98340,17234,17.52
Seychelles,7/18/2021,98340,17234,17.52
Andorra,5/14/2021,77265,13510,17.49
Andorra,5/15/2021,77265,13510,17.49
Andorra,5/16/2021,77265,13510,17.49
Andorra,5/12/2021,77265,13470,17.43
Andorra,5/13/2021,77265,13470,17.43
Andorra,5/11/2021,77265,13447,17.4
Andorra,5/10/2021,77265,13429,17.38
Andorra,5/9/2021,77265,13423,17.37
Andorra,5/8/2021,77265,13406,17.35
Andorra,5/7/2021,77265,13390,17.33
Andorra,5/6/2021,77265,13363,17.3
Seychelles,7/12/2021,98340,17005,17.29
Seychelles,7/13/2021,98340,17005,17.29
Seychelles,7/14/2021,98340,17005,17.29
Seychelles,7/15/2021,98340,17005,17.29
Andorra,5/5/2021,77265,13340,17.27
Andorra,5/4/2021,77265,13316,17.23
Andorra,5/3/2021,77265,13295,17.21
Andorra,5/2/2021,77265,13282,17.19
Andorra,4/30/2021,77265,13232,17.13
Andorra,5/1/2021,77265,13232,17.13
Andorra,4/29/2021,77265,13198,17.08
Andorra,4/28/2021,77265,13148,17.02
Andorra,4/27/2021,77265,13121,16.98
Seychelles,7/8/2021,98340,16679,16.96
Seychelles,7/9/2021,98340,16679,16.96
Seychelles,7/10/2021,98340,16679,16.96
Seychelles,7/11/2021,98340,16679,16.96
Andorra,4/26/2021,77265,13083,16.93
Andorra,4/25/2021,77265,13060,16.9
Andorra,4/24/2021,77265,13024,16.86
Andorra,4/23/2021,77265,13007,16.83
Andorra,4/22/2021,77265,12942,16.75
Andorra,4/21/2021,77265,12917,16.72
Andorra,4/20/2021,77265,12874,16.66
Montenegro,8/11/2021,628062,104613,16.66
Montenegro,8/10/2021,628062,104264,16.6
Seychelles,7/5/2021,98340,16304,16.58
Seychelles,7/6/2021,98340,16304,16.58
Seychelles,7/7/2021,98340,16304,16.58
Andorra,4/18/2021,77265,12805,16.57
Andorra,4/19/2021,77265,12805,16.57
Montenegro,8/9/2021,628062,103932,16.55
Andorra,4/17/2021,77265,12771,16.53
Montenegro,8/8/2021,628062,103722,16.51
Montenegro,8/7/2021,628062,103443,16.47
Andorra,4/16/2021,77265,12712,16.45
Montenegro,8/6/2021,628062,103158,16.42
Montenegro,8/5/2021,628062,102879,16.38
Andorra,4/14/2021,77265,12641,16.36
Andorra,4/15/2021,77265,12641,16.36
Montenegro,8/4/2021,628062,102660,16.35
Andorra,4/13/2021,77265,12614,16.33
Montenegro,8/3/2021,628062,102403,16.3
Andorra,4/12/2021,77265,12581,16.28
Montenegro,8/2/2021,628062,102184,16.27
Montenegro,8/1/2021,628062,102092,16.26
Andorra,4/11/2021,77265,12545,16.24
Montenegro,7/31/2021,628062,101927,16.23
Montenegro,7/30/2021,628062,101785,16.21
Montenegro,7/29/2021,628062,101642,16.18
Andorra,4/10/2021,77265,12497,16.17
Montenegro,7/28/2021,628062,101496,16.16
Montenegro,7/27/2021,628062,101352,16.14
Seychelles,7/2/2021,98340,15857,16.12
Seychelles,7/3/2021,98340,15857,16.12
Seychelles,7/4/2021,98340,15857,16.12
Andorra,4/9/2021,77265,12456,16.12
Montenegro,7/26/2021,628062,101207,16.11
Montenegro,7/25/2021,628062,101130,16.1
Montenegro,7/24/2021,628062,101061,16.09
Montenegro,7/23/2021,628062,100929,16.07
Montenegro,7/22/2021,628062,100865,16.06
Andorra,4/8/2021,77265,12409,16.06
Montenegro,7/21/2021,628062,100802,16.05
Montenegro,7/20/2021,628062,100755,16.04
Montenegro,7/18/2021,628062,100662,16.03
Montenegro,7/19/2021,628062,100690,16.03
Montenegro,7/16/2021,628062,100590,16.02
Montenegro,7/17/2021,628062,100622,16.02
Montenegro,7/14/2021,628062,100543,16.01
Montenegro,7/15/2021,628062,100567,16.01
Montenegro,7/10/2021,628062,100459,16
Montenegro,7/11/2021,628062,100478,16
Montenegro,7/12/2021,628062,100488,16
Montenegro,7/13/2021,628062,100519,16
Andorra,4/7/2021,77265,12363,16
